netA,netB,pvalue,percentage,behavior,pill,sign
motor,medfront,0.7737234307239222,0.0,arousal,placebo,pos
motor,frontoparietal,0.047366354523931786,8.0,arousal,placebo,pos
motor,DMN,0.5533826906065172,0.5,arousal,placebo,pos
motor,motor,0.48670378124031166,2.0,arousal,placebo,pos
motor,visA,0.5533826906065172,1.0,arousal,placebo,pos
motor,visB,0.2938889515849128,1.5,arousal,placebo,pos
motor,visassoc,0.5769101316903886,1.0,arousal,placebo,pos
motor,salience,0.7406043492896883,1.0,arousal,placebo,pos
motor,subcort,0.3125959828804029,0.0,arousal,placebo,pos
motor,cerebell,0.3658406295012394,0.0,arousal,placebo,pos
visA,medfront,0.5105690873854175,0.0,arousal,placebo,pos
visA,frontoparietal,0.07073550837896825,4.0,arousal,placebo,pos
visA,DMN,0.32205961340183764,1.0,arousal,placebo,pos
visA,motor,0.5533826906065172,1.0,arousal,placebo,pos
visA,visA,0.313191247708833,1.0,arousal,placebo,pos
visA,visB,0.15475680638926914,1.0,arousal,placebo,pos
visA,visassoc,0.008307202115415468,4.5,arousal,placebo,pos
visA,salience,0.47754132371831637,1.5,arousal,placebo,pos
visA,subcort,0.1656341053047916,0.0,arousal,placebo,pos
visA,cerebell,0.19744656490441437,0.0,arousal,placebo,pos
visB,medfront,0.2652038277340014,0.0,arousal,placebo,pos
visB,frontoparietal,0.0647194819939142,2.5,arousal,placebo,pos
visB,DMN,0.15475680638926914,0.0,arousal,placebo,pos
visB,motor,0.2938889515849128,1.5,arousal,placebo,pos
visB,visA,0.15475680638926914,1.0,arousal,placebo,pos
visB,visB,0.002097789702865338,2.0,arousal,placebo,pos
visB,visassoc,0.014000107709342235,3.5,arousal,placebo,pos
visB,salience,0.032119416208719165,2.5,arousal,placebo,pos
visB,subcort,0.07540864434099337,0.0,arousal,placebo,pos
visB,cerebell,0.09043251649484041,0.0,arousal,placebo,pos
visassoc,medfront,0.5334756176528879,0.5,arousal,placebo,pos
visassoc,frontoparietal,0.27128843196540653,3.0,arousal,placebo,pos
visassoc,DMN,0.06448511527340794,3.5,arousal,placebo,pos
visassoc,motor,0.5769101316903886,1.0,arousal,placebo,pos
visassoc,visA,0.008307202115415468,4.5,arousal,placebo,pos
visassoc,visB,0.014000107709342235,3.5,arousal,placebo,pos
visassoc,visassoc,0.0009021184479376387,6.0,arousal,placebo,pos
visassoc,salience,0.03180628916432959,4.5,arousal,placebo,pos
visassoc,subcort,0.17566196912255205,0.0,arousal,placebo,pos
visassoc,cerebell,0.20915150726292608,0.0,arousal,placebo,pos
salience,medfront,0.6974611739990313,0.0,arousal,placebo,pos
salience,frontoparietal,0.213164774868827,4.5,arousal,placebo,pos
salience,DMN,0.1363989088539448,3.0,arousal,placebo,pos
salience,motor,0.7406043492896883,1.0,arousal,placebo,pos
salience,visA,0.47754132371831637,1.5,arousal,placebo,pos
salience,visB,0.032119416208719165,2.5,arousal,placebo,pos
salience,visassoc,0.03180628916432959,4.5,arousal,placebo,pos
salience,salience,0.6549196547721506,0.0,arousal,placebo,pos
salience,subcort,0.2607393785646319,0.0,arousal,placebo,pos
salience,cerebell,0.30721571270672454,0.0,arousal,placebo,pos
subcort,medfront,0.28279795165466515,0.0,arousal,placebo,pos
subcort,frontoparietal,0.3608705122738112,0.0,arousal,placebo,pos
subcort,DMN,0.1656341053047916,0.0,arousal,placebo,pos
subcort,motor,0.3125959828804029,0.0,arousal,placebo,pos
subcort,visA,0.1656341053047916,0.0,arousal,placebo,pos
subcort,visB,0.07540864434099337,0.0,arousal,placebo,pos
subcort,visassoc,0.17566196912255205,0.0,arousal,placebo,pos
subcort,salience,0.2607393785646319,0.0,arousal,placebo,pos
subcort,subcort,0.07540864434099337,0.0,arousal,placebo,pos
subcort,cerebell,0.09746502195490758,0.0,arousal,placebo,pos
cerebell,medfront,0.3319743118064008,0.0,arousal,placebo,pos
cerebell,frontoparietal,0.41957907802319294,0.0,arousal,placebo,pos
cerebell,DMN,0.19744656490441437,0.0,arousal,placebo,pos
cerebell,motor,0.3658406295012394,0.0,arousal,placebo,pos
cerebell,visA,0.19744656490441437,0.0,arousal,placebo,pos
cerebell,visB,0.09043251649484041,0.0,arousal,placebo,pos
cerebell,visassoc,0.20915150726292608,0.0,arousal,placebo,pos
cerebell,salience,0.30721571270672454,0.0,arousal,placebo,pos
cerebell,subcort,0.09746502195490758,0.0,arousal,placebo,pos
cerebell,cerebell,0.1106030286922648,0.0,arousal,placebo,pos
medfront,medfront,0.22439838445528648,0.0,memory,cortisol,pos
medfront,frontoparietal,0.2950412677203921,0.5,memory,cortisol,pos
medfront,DMN,0.13108575872931105,0.0,memory,cortisol,pos
medfront,motor,0.25339947972964916,0.0,memory,cortisol,pos
medfront,visA,0.13108575872931105,0.0,memory,cortisol,pos
medfront,visB,0.05880133976154067,0.0,memory,cortisol,pos
medfront,visassoc,0.1392377915327606,0.5,memory,cortisol,pos
medfront,salience,0.20951388626289125,0.5,memory,cortisol,pos
medfront,subcort,0.06327641186053357,0.0,memory,cortisol,pos
medfront,cerebell,0.07627002210754097,0.0,memory,cortisol,pos
frontoparietal,medfront,0.2950412677203921,0.5,memory,cortisol,pos
frontoparietal,frontoparietal,0.3726710331126363,0.0,memory,cortisol,pos
frontoparietal,DMN,0.17257420710050897,0.0,memory,cortisol,pos
frontoparietal,motor,0.32622044496572133,0.0,memory,cortisol,pos
frontoparietal,visA,0.17257420710050897,0.0,memory,cortisol,pos
frontoparietal,visB,0.07847185897879627,0.0,memory,cortisol,pos
frontoparietal,visassoc,0.18304549802026926,0.0,memory,cortisol,pos
frontoparietal,salience,0.2719666878250786,0.5,memory,cortisol,pos
frontoparietal,subcort,0.08426786073427517,0.0,memory,cortisol,pos
frontoparietal,cerebell,0.10145596316562477,0.0,memory,cortisol,pos
DMN,medfront,0.13108575872931105,0.0,memory,cortisol,pos
DMN,frontoparietal,0.17257420710050897,0.0,memory,cortisol,pos
DMN,DMN,0.0712191312582221,0.0,memory,cortisol,pos
DMN,motor,0.14658783097817363,0.5,memory,cortisol,pos
DMN,visA,0.07358988009565903,0.0,memory,cortisol,pos
DMN,visB,0.03252285529255605,1.0,memory,cortisol,pos
DMN,visassoc,0.07831474461058396,0.0,memory,cortisol,pos
DMN,salience,0.1198552778132227,0.0,memory,cortisol,pos
DMN,subcort,0.03498400163760229,0.0,memory,cortisol,pos
DMN,cerebell,0.042333047299412674,0.0,memory,cortisol,pos
motor,medfront,0.25339947972964916,0.0,memory,cortisol,pos
motor,frontoparietal,0.32622044496572133,0.0,memory,cortisol,pos
motor,DMN,0.14658783097817363,0.5,memory,cortisol,pos
motor,motor,0.27713941821744503,0.0,memory,cortisol,pos
motor,visA,0.14658783097817363,0.0,memory,cortisol,pos
motor,visB,0.06614293550924666,0.0,memory,cortisol,pos
motor,visassoc,0.15562196849307197,0.0,memory,cortisol,pos
motor,salience,0.23307255913192404,0.5,memory,cortisol,pos
motor,subcort,0.07106088377242203,0.0,memory,cortisol,pos
motor,cerebell,0.08567263690545823,0.0,memory,cortisol,pos
visA,medfront,0.13108575872931105,0.0,memory,cortisol,pos
visA,frontoparietal,0.17257420710050897,0.0,memory,cortisol,pos
visA,DMN,0.07358988009565903,0.0,memory,cortisol,pos
visA,motor,0.14658783097817363,0.0,memory,cortisol,pos
visA,visA,0.0712191312582221,0.0,memory,cortisol,pos
visA,visB,0.03252285529255605,1.5,memory,cortisol,pos
visA,visassoc,0.07831474461058396,0.0,memory,cortisol,pos
visA,salience,0.1198552778132227,0.0,memory,cortisol,pos
visA,subcort,0.03498400163760229,0.0,memory,cortisol,pos
visA,cerebell,0.042333047299412674,0.0,memory,cortisol,pos
visB,medfront,0.05880133976154067,0.0,memory,cortisol,pos
visB,frontoparietal,0.07847185897879627,0.0,memory,cortisol,pos
visB,DMN,0.03252285529255605,1.0,memory,cortisol,pos
visB,motor,0.06614293550924666,0.0,memory,cortisol,pos
visB,visA,0.03252285529255605,1.5,memory,cortisol,pos
visB,visB,7.834878830648151e-05,3.0,memory,cortisol,pos
visB,visassoc,5.374776165911754e-06,5.0,memory,cortisol,pos
visB,salience,0.05366297974893808,0.0,memory,cortisol,pos
visB,subcort,0.015300033414241687,0.0,memory,cortisol,pos
visB,cerebell,0.01846734056935262,0.0,memory,cortisol,pos
visassoc,medfront,0.1392377915327606,0.5,memory,cortisol,pos
visassoc,frontoparietal,0.18304549802026926,0.0,memory,cortisol,pos
