netA,netB,pvalue,percentage,stim1,stim2,pill,sign
motor,visB,0.005685986793837139,0.0,alc,alc,placebo,pos
motor,visassoc,0.01399627518482982,0.0,alc,alc,placebo,pos
motor,salience,0.02186917997629667,0.0,alc,alc,placebo,pos
motor,subcort,0.006123370393363081,0.0,alc,alc,placebo,pos
motor,cerebell,0.007435521191940908,0.0,alc,alc,placebo,pos
visA,medfront,0.011640047406738518,0.0,alc,alc,placebo,pos
visA,frontoparietal,0.015661154692702794,0.0,alc,alc,placebo,pos
visA,DMN,0.00634911676731198,0.0,alc,alc,placebo,pos
visA,motor,0.013121507985777936,0.0,alc,alc,placebo,pos
visA,visA,0.006137479541734825,1.0,alc,alc,placebo,pos
visA,visB,0.0027512839325017913,0.5,alc,alc,placebo,pos
visA,visassoc,0.006772391218466067,0.0,alc,alc,placebo,pos
visA,salience,0.010581861278853189,0.0,alc,alc,placebo,pos
visA,subcort,0.002962921158078946,0.0,alc,alc,placebo,pos
visA,cerebell,0.0035978328348100774,0.0,alc,alc,placebo,pos
visB,medfront,0.005036965968734153,0.0,alc,alc,placebo,pos
visB,frontoparietal,0.006786500366837811,0.0,alc,alc,placebo,pos
visB,DMN,0.0027512839325017913,0.0,alc,alc,placebo,pos
visB,motor,0.005685986793837139,0.0,alc,alc,placebo,pos
visB,visA,0.0027512839325017913,0.5,alc,alc,placebo,pos
visB,visB,0.0011005135730007831,0.0,alc,alc,placebo,pos
visB,visassoc,0.0029347028613352366,0.0,alc,alc,placebo,pos
visB,salience,0.004585473220836356,0.0,alc,alc,placebo,pos
visB,subcort,0.0012839325018342285,0.0,alc,alc,placebo,pos
visB,cerebell,0.0015520063208984691,0.0,alc,alc,placebo,pos
visassoc,medfront,0.012416050567187753,0.0,alc,alc,placebo,pos
visassoc,frontoparietal,0.01670523167221627,0.0,alc,alc,placebo,pos
visassoc,DMN,0.006772391218466067,0.0,alc,alc,placebo,pos
visassoc,motor,0.01399627518482982,0.0,alc,alc,placebo,pos
visassoc,visA,0.006772391218466067,0.0,alc,alc,placebo,pos
visassoc,visB,0.0029347028613352366,0.0,alc,alc,placebo,pos
visassoc,visassoc,0.006998137592414966,0.0,alc,alc,placebo,pos
visassoc,salience,0.011287318697443371,0.0,alc,alc,placebo,pos
visassoc,subcort,0.003160449235284135,0.0,alc,alc,placebo,pos
visassoc,cerebell,0.0038376883571307197,0.0,alc,alc,placebo,pos
salience,medfront,0.019400079011230864,0.0,alc,alc,placebo,pos
salience,frontoparietal,0.02610192448783788,0.0,alc,alc,placebo,pos
salience,DMN,0.010581861278853189,0.0,alc,alc,placebo,pos
salience,motor,0.02186917997629667,0.0,alc,alc,placebo,pos
salience,visA,0.010581861278853189,0.0,alc,alc,placebo,pos
salience,visB,0.004585473220836356,0.0,alc,alc,placebo,pos
salience,visassoc,0.011287318697443371,0.0,alc,alc,placebo,pos
salience,salience,0.017283706755460204,0.0,alc,alc,placebo,pos
salience,subcort,0.004938201930131503,0.0,alc,alc,placebo,pos
salience,cerebell,0.005996388058016833,0.0,alc,alc,placebo,pos
subcort,medfront,0.005432022123144642,0.0,alc,alc,placebo,pos
subcort,frontoparietal,0.00730853885659466,0.0,alc,alc,placebo,pos
subcort,DMN,0.002962921158078946,0.0,alc,alc,placebo,pos
subcort,motor,0.006123370393363081,0.0,alc,alc,placebo,pos
subcort,visA,0.002962921158078946,0.0,alc,alc,placebo,pos
subcort,visB,0.0012839325018342285,0.0,alc,alc,placebo,pos
subcort,visassoc,0.003160449235284135,0.0,alc,alc,placebo,pos
subcort,salience,0.004938201930131503,0.0,alc,alc,placebo,pos
subcort,subcort,0.0012839325018342285,0.0,alc,alc,placebo,pos
subcort,cerebell,0.0016789886562447176,0.0,alc,alc,placebo,pos
cerebell,medfront,0.006588972289632622,0.0,alc,alc,placebo,pos
cerebell,frontoparietal,0.008874654325864872,0.0,alc,alc,placebo,pos
cerebell,DMN,0.0035978328348100774,0.0,alc,alc,placebo,pos
cerebell,motor,0.007435521191940908,0.0,alc,alc,placebo,pos
cerebell,visA,0.0035978328348100774,0.0,alc,alc,placebo,pos
cerebell,visB,0.0015520063208984691,0.0,alc,alc,placebo,pos
cerebell,visassoc,0.0038376883571307197,0.0,alc,alc,placebo,pos
cerebell,salience,0.005996388058016833,0.0,alc,alc,placebo,pos
cerebell,subcort,0.0016789886562447176,0.0,alc,alc,placebo,pos
cerebell,cerebell,0.0019188441785653598,0.0,alc,alc,placebo,pos
medfront,medfront,0.48136555808393067,0.0,alc,tool,cortisol,pos
medfront,frontoparietal,0.594768828263695,0.5,alc,tool,cortisol,pos
medfront,DMN,0.30443812388263025,0.0,alc,tool,cortisol,pos
medfront,motor,0.5299974151621761,0.5,alc,tool,cortisol,pos
medfront,visA,0.30443812388263025,1.0,alc,tool,cortisol,pos
medfront,visB,0.1449315413197534,0.0,alc,tool,cortisol,pos
medfront,visassoc,0.3211733543960893,0.5,alc,tool,cortisol,pos
medfront,salience,0.12102271865027536,3.0,alc,tool,cortisol,pos
medfront,subcort,0.15539612485910403,0.0,alc,tool,cortisol,pos
